class,id1,id2,distance
monkey,1,2,0.4392057
monkey,1,3,0.2824341
monkey,1,4,0.40133417
monkey,1,5,0.50940704
monkey,1,6,0.72912616
monkey,1,7,0.636979
monkey,1,8,0.03504747
monkey,1,9,0.36973417
monkey,1,12,0.3279665
monkey,1,14,0.4110778
monkey,1,15,0.1497019
monkey,1,20,0.1770336
monkey,1,21,0.6662267
monkey,1,22,0.4530548
monkey,1,24,0.46847218
monkey,1,26,0.64976007
monkey,1,27,0.4498605
monkey,2,3,0.47686672
monkey,2,4,0.007694721
monkey,2,5,0.023400187
monkey,2,6,0.5794209
monkey,2,7,0.7459145
monkey,2,8,0.43773538
monkey,2,9,0.64904857
monkey,2,12,0.031737745
monkey,2,14,0.54527724
monkey,2,15,0.526844
monkey,2,20,0.39742988
monkey,2,21,0.76263154
monkey,2,22,0.6971953
monkey,2,24,0.61052215
monkey,2,26,0.82106626
monkey,2,27,0.7207436
monkey,3,4,0.44447768
monkey,3,5,0.47040963
monkey,3,6,0.70569533
monkey,3,7,0.62370676
monkey,3,8,0.24052137
monkey,3,9,0.4738664
monkey,3,12,0.4110052
monkey,3,14,0.54346967
monkey,3,15,0.4023984
monkey,3,20,0.34235406
monkey,3,21,0.6182582
monkey,3,22,0.5395458
monkey,3,24,0.45893723
monkey,3,26,0.6884624
monkey,3,27,0.34789705
monkey,4,5,0.02688247
monkey,4,6,0.58800554
monkey,4,7,0.74052
monkey,4,8,0.38933784
monkey,4,9,0.559499
monkey,4,12,0.030888915
monkey,4,14,0.53439045
monkey,4,15,0.45719564
monkey,4,20,0.37288553
monkey,4,21,0.75947833
monkey,4,22,0.6813844
monkey,4,24,0.602929
monkey,4,26,0.7547841
monkey,4,27,0.70169747
monkey,5,6,0.53929967
monkey,5,7,0.6779007
monkey,5,8,0.51206064
monkey,5,9,0.64960694
monkey,5,12,0.05103582
monkey,5,14,0.56842005
monkey,5,15,0.5914855
monkey,5,20,0.41609448
monkey,5,21,0.6998716
monkey,5,22,0.70781624
monkey,5,24,0.5901986
monkey,5,26,0.8295752
monkey,5,27,0.70734274
monkey,6,7,0.7285331
monkey,6,8,0.7685399
monkey,6,9,0.7930834
monkey,6,12,0.5242182
monkey,6,14,0.6560432
monkey,6,15,0.8124286
monkey,6,20,0.54046035
monkey,6,21,0.7907064
monkey,6,22,0.7286836
monkey,6,24,0.5959588
monkey,6,26,0.89626014
monkey,6,27,0.7898946
monkey,7,8,0.7025198
monkey,7,9,0.73738426
monkey,7,12,0.6145003
monkey,7,14,0.8099592
monkey,7,15,0.75233305
monkey,7,20,0.53423727
monkey,7,21,0.3270911
monkey,7,22,0.7375325
monkey,7,24,0.58909047
monkey,7,26,0.8481112
monkey,7,27,0.65159345
monkey,8,9,0.29749775
monkey,8,12,0.34811872
monkey,8,14,0.41201836
monkey,8,15,0.08414471
monkey,8,20,0.23168522
monkey,8,21,0.6762983
monkey,8,22,0.4628741
monkey,8,24,0.5029366
monkey,8,26,0.5286875
monkey,8,27,0.4478407
monkey,9,12,0.5631758
monkey,9,14,0.6797201
monkey,9,15,0.13426757
monkey,9,20,0.4405344
monkey,9,21,0.7868352
monkey,9,22,0.69171596
monkey,9,24,0.59275925
monkey,9,26,0.15769404
monkey,9,27,0.63556886
monkey,12,14,0.480406
monkey,12,15,0.43758512
monkey,12,20,0.27000117
monkey,12,21,0.69821393
monkey,12,22,0.6037455
monkey,12,24,0.5269619
monkey,12,26,0.7730439
monkey,12,27,0.6461491
monkey,14,15,0.4961623
monkey,14,20,0.39583898
monkey,14,21,0.7021403
monkey,14,22,0.43852794
monkey,14,24,0.52323014
monkey,14,26,0.8309932
monkey,14,27,0.6565362
monkey,15,20,0.3321026
monkey,15,21,0.7544615
monkey,15,22,0.5493479
monkey,15,24,0.5956298
monkey,15,26,0.26346755
monkey,15,27,0.583683
monkey,20,21,0.6328423
monkey,20,22,0.34457672
monkey,20,24,0.34422237
monkey,20,26,0.7084263
monkey,20,27,0.48935884
monkey,21,22,0.7244508
monkey,21,24,0.4975254
monkey,21,26,0.8923377
monkey,21,27,0.65893906
monkey,22,24,0.6089654
monkey,22,26,0.82009614
monkey,22,27,0.51512825
monkey,24,26,0.7893791
monkey,24,27,0.59188896
monkey,26,27,0.7798271
